Tweet,Class
برسوں بعد بچھڑے دوستوں کا امسال اچانک ملنا زندگی کا حسین اتفاق تھا,P
کارپوریشن کے تعاون سے بے گھر خاندانوں کو محفوظ رہائش فراہم کر دی گئی,P
سرکاری ہسپتال کی جانب سے پیر کے روز غریب طلبہ کے لیے وظائف کا اعلان انتہائی خوش آئند قدم ہے,P
کراچی میں پانی کی قلت نے موسم سرما میں شہریوں کا جینا محال کر دیا ہے,N
بارش کے بعد جہلم کا موسم انتہائی خوشگوار ہو گیا اور سالانہ تقریب میں لوگ گھروں سے باہر نکل آئے,P
انتظامیہ نے نئی پالیسی متعارف کروائی جس سے عام آدمی کو کافی ریلیف ملنے کی توقع ہے,P
صبح سویرے صحت کارکن نے نوشہرہ میں سرکاری ہسپتال کے تعاون سے ایک شاندار منصوبہ مکمل کر لیا جس سے ہزاروں افراد مستفید ہوں گے,P
محکمہ صحت کے افسران کی من مانیوں نے پیر کے روز عام شہری کو ذلیل و خوار کر دیا,N
غیر ذمہ دارانہ ڈرائیونگ کے باعث رات گئے سڑک حادثے میں معصوم بچہ جاں بحق ہو گیا,N
چترال کی سڑکوں پر بنے گڑھوں کی وجہ سے انتخابات کے قریب روزانہ نئے حادثات جنم لے رہے ہیں,N
سیاستدانوں کی باہمی چپقلش نے عوامی مسائل کو مکمل طور پر پس پشت ڈال دیا,N
رمضان میں کے دوران اوکاڑہ میں منعقدہ ثقافتی میلے نے تمام شہریوں کا دل موہ لیا,P
سائنسدان نے بحران کے باوجود حالیہ دنوں میں ہمت نہ ہاری اور اپنا کاروبار دوبارہ کھڑا کر دکھایا,P
محکمہ زراعت نے چھٹی کے دن کے حوالے سے شاندار اصلاحات متعارف کروائیں جن کی ہر جگہ تعریف ہو رہی ہے,P
بچے کی پہلی کامیابی دیکھ کر ماں باپ کی آنکھوں میں خوشی کے آنسو آ گئے,P
سائنسدان کی انتھک محنت رنگ لائی اور پیر کے روز انہیں وہ مقام مل گیا جس کے وہ حقدار تھے,P
پولیس اہلکار کی خودغرضی نے امسال پورے منصوبے کو ناکامی سے دوچار کر دیا,N
واپڈا کی جانب سے رمضان میں غریب طلبہ کے لیے وظائف کا اعلان انتہائی خوش آئند قدم ہے,P
بارش کے بعد سوات کا موسم انتہائی خوشگوار ہو گیا اور پیر کے روز لوگ گھروں سے باہر نکل آئے,P
شاعر کا عاجزانہ رویہ اور دوسروں کی مدد کا جذبہ قابل تقلید ہے,P
محکمہ صحت کے افسران کی من مانیوں نے چھٹی کے دن عام شہری کو ذلیل و خوار کر دیا,N
جعلی ادویات کے کاروبار نے سینکڑوں مریضوں کی جان خطرے میں ڈال دی,N
بہاولپور میں نئے ہسپتال کے قیام سے دیہی علاقے کے مریضوں کو بروقت علاج میسر آ گیا,P
کارخانے کی آلودگی نے قریبی آبادی کو سانس کی بیماریوں میں مبتلا کر دیا ہے,N
بہاولپور میں ٹریفک جام میں گھنٹوں پھنسے رہنا اب معمول بن چکا ہے، لوگ ذہنی کوفت کا شکار ہیں,N
استاد کی حوصلہ افزائی نے چھٹی کے دن ایک کمزور طالب علم کو کلاس کا بہترین نتیجہ دینے والا بنا دیا,P
پولیس محکمہ میں پھیلی رشوت خوری نے پورے نظام کو اندر سے کھوکھلا کر دیا ہے,N
محکمہ زراعت کی سست روی کی وجہ سے سالانہ تقریب میں فائل مہینوں دفتروں میں پڑی رہی,N
دوستوں کے ساتھ گزارا وقت زندگی کی سب سے قیمتی یادوں میں شمار ہوتا ہے,P
صحت کارکن پر لگے کرپشن کے الزامات موسم سرما میں ثابت ہونے کے باوجود کوئی کارروائی نہیں ہوئی,N
حکومت کی غفلت کے باعث جہلم کی فیکٹری میں آتشزدگی سے کئی مزدور جھلس گئے,N
انصاف کے حصول میں برسوں لگ جاتے ہیں، عدالتی نظام سست روی کا شکار ہے,N
واپڈا میں پھیلی رشوت خوری نے انتخابات کے قریب پورے نظام کو اندر سے کھوکھلا کر دیا ہے,N
شور شرابے اور آلودگی نے فیصل آباد کی رہائشی زندگی کو غیر معیاری بنا دیا ہے,N
والدین پر لگے کرپشن کے الزامات ثابت ہونے کے باوجود کوئی کارروائی نہیں ہوئی,N
فنکار پر لگے کرپشن کے الزامات ثابت ہونے کے باوجود کوئی کارروائی نہیں ہوئی,N
نئے تعلیمی سیشن کا آغاز جوش و خروش سے ہوا، بچے مسکراتے ہوئے سکول پہنچے,P
جہلم کے بجٹ کے بعد میں نمایاں بہتری نے شہریوں کے چہروں پر مسکراہٹ بکھیر دی,P
سیاستدان کے دھوکے نے اس ہفتے برسوں کی دوستی کو ایک ہی لمحے میں ختم کر دیا,N
سرکاری ہسپتالوں میں حالیہ دنوں میں ادویات کی کمی کے باعث مریض علاج سے محروم رہ گئے,N
خشک سالی نے کسانوں کی پوری فصل تباہ کر دی اور وہ مقروض ہو گئے,N
شدید گرمی اور لوڈشیڈنگ نے فیصل آباد کے باسیوں کی زندگی اجیرن کر دی ہے,N
محلے دار کی سچائی اور دیانتداری آج بھی معاشرے کے لیے مثال ہے,P
بے روزگاری کے ہاتھوں تنگ نوجوان ملک چھوڑنے پر مجبور ہو گئے ہیں,N
جھوٹی خبروں کے سیلاب نے سوشل میڈیا صارفین کو شدید ذہنی کوفت میں مبتلا کر دیا,N
تعلیمی بورڈ کے تعاون سے پیر کے روز بے گھر خاندانوں کو محفوظ رہائش فراہم کر دی گئی,P
محبت اور خلوص سے بھرا یہ رشتہ حالیہ دنوں میں بھی اتنا ہی مضبوط ہے جتنا پہلے دن تھا,P
بچے کی پہلی کامیابی دیکھ کر حالیہ دنوں میں ماں باپ کی آنکھوں میں خوشی کے آنسو آ گئے,P
کوئٹہ کی سڑکوں پر بنے گڑھوں کی وجہ سے امسال روزانہ نئے حادثات جنم لے رہے ہیں,N
ژوب کی سڑکوں پر بنے گڑھوں کی وجہ سے روزانہ نئے حادثات جنم لے رہے ہیں,N
بچوں سے مشقت لینے والے کارخانہ داروں کے خلاف انتخابات کے قریب کوئی سخت قانون موجود نہیں,N
چھٹی کے دن کے دوران نوشہرہ میں پیش آنے والے واقعے نے سب کو صدمے میں ڈال دیا,N
بچے کی پہلی کامیابی دیکھ کر انتخابات کے قریب ماں باپ کی آنکھوں میں خوشی کے آنسو آ گئے,P
سرکاری افسر کی سچائی اور دیانتداری موسم سرما میں آج بھی معاشرے کے لیے مثال ہے,P
سرکاری ہسپتالوں میں ادویات کی کمی کے باعث مریض علاج سے محروم رہ گئے,N
بچے کی پہلی کامیابی دیکھ کر اس ہفتے ماں باپ کی آنکھوں میں خوشی کے آنسو آ گئے,P
امسال کے دوران کراچی میں منعقدہ ثقافتی میلے نے تمام شہریوں کا دل موہ لیا,P
تھر کی گلیوں میں کوڑے کے ڈھیر بیماریاں پھیلانے کا باعث بن رہے ہیں,N
کارپوریشن کے وعدے انتخابات کے قریب صرف کاغذوں تک محدود رہے، عملی طور پر کچھ نہ ہو سکا,N
کسان خاتون کا عاجزانہ رویہ اور دوسروں کی مدد کا جذبہ قابل تقلید ہے,P
پشاور میں پانی کی قلت نے عید کے موقع پر شہریوں کا جینا محال کر دیا ہے,N
سائنسدان کا عاجزانہ رویہ اور دوسروں کی مدد کا جذبہ بجٹ کے بعد قابل تقلید ہے,P
ڈرائیور نے بحران کے باوجود بجٹ کے بعد ہمت نہ ہاری اور اپنا کاروبار دوبارہ کھڑا کر دکھایا,P
دوستوں کے ساتھ حالیہ دنوں میں گزارا وقت زندگی کی سب سے قیمتی یادوں میں شمار ہوتا ہے,P
سماجی کارکن کی خودغرضی نے پورے منصوبے کو ناکامی سے دوچار کر دیا,N
محکمہ صحت میں پھیلی رشوت خوری نے پورے نظام کو اندر سے کھوکھلا کر دیا ہے,N
انجینئر نے بحران کے باوجود ہمت نہ ہاری اور اپنا کاروبار دوبارہ کھڑا کر دکھایا,P
پشاور میں نئی سڑک کی تعمیر سے سفر کا دورانیہ آدھا رہ گیا، مسافروں نے سکون کا سانس لیا,P
میچ میں ناقص فیصلوں کی وجہ سے ٹیم کو آخری لمحات میں شکست کا سامنا کرنا پڑا,N
اوکاڑہ میں نئے پارک کی تعمیر سے بچوں اور بزرگوں کو کھلی فضا میں وقت گزارنے کا موقع ملا,P
مزدور کے دھوکے نے عید کے موقع پر برسوں کی دوستی کو ایک ہی لمحے میں ختم کر دیا,N
حیدرآباد میں نئی سڑک کی تعمیر سے سفر کا دورانیہ آدھا رہ گیا، مسافروں نے سکون کا سانس لیا,P
کسانوں کی محنت رنگ لائی اور فصل کی پیداوار ریکارڈ سطح پر پہنچ گئی,P
حکومت نے سالانہ تقریب میں نئی پالیسی متعارف کروائی جس سے عام آدمی کو کافی ریلیف ملنے کی توقع ہے,P
حکومت کی بروقت مدد سے اس ہفتے سیلاب متاثرین کی زندگی دوبارہ پٹری پر آ گئی,P
استانی کے دھوکے نے چھٹی کے دن برسوں کی دوستی کو ایک ہی لمحے میں ختم کر دیا,N
سیالکوٹ میں نئے پارک کی تعمیر سے بچوں اور بزرگوں کو کھلی فضا میں وقت گزارنے کا موقع ملا,P
وکیل کی ہٹ دھرمی نے اس ہفتے مذاکرات کی تمام کوششوں کو ناکام بنا دیا,N
سکھر کے بازاروں میں امسال غیر معمولی رونق دیکھی گئی، دکاندار خوش نظر آئے,P
اسلام آباد کی سڑکوں پر بنے گڑھوں کی وجہ سے روزانہ نئے حادثات جنم لے رہے ہیں,N
حیدرآباد میں پانی کی قلت نے شہریوں کا جینا محال کر دیا ہے,N
طلاق کی شرح میں موسم سرما میں اضافے نے خاندانی نظام کو شدید نقصان پہنچایا ہے,N
استاد کے جھوٹے وعدوں نے موسم سرما میں عوام کا اعتماد مکمل طور پر ختم کر دیا ہے,N
شادی کی تقریب میں رشتہ داروں کا پرتپاک استقبال دیکھ کر دل باغ باغ ہو گیا,P
سائنسدان کی سادگی اور خلوص نے انتخابات کے قریب ہر ملنے والے کا دل جیت لیا,P
پاکستانی ٹیم نے گزشتہ ماہ زبردست کارکردگی دکھاتے ہوئے میچ جیت لیا، شائقین جھوم اٹھے,P
کسان کی انتھک محنت رنگ لائی اور چھٹی کے دن انہیں وہ مقام مل گیا جس کے وہ حقدار تھے,P
سرکاری افسر کی سچائی اور دیانتداری پیر کے روز آج بھی معاشرے کے لیے مثال ہے,P
شور شرابے اور آلودگی نے کراچی کی رہائشی زندگی کو غیر معیاری بنا دیا ہے,N
نرس کی سچائی اور دیانتداری آج بھی معاشرے کے لیے مثال ہے,P
حیدرآباد میں ٹریفک جام میں گھنٹوں پھنسے رہنا اب معمول بن چکا ہے، لوگ ذہنی کوفت کا شکار ہیں,N
بچے کی پہلی کامیابی دیکھ کر موسم سرما میں ماں باپ کی آنکھوں میں خوشی کے آنسو آ گئے,P
صحت کارکن کے جھوٹے وعدوں نے عوام کا اعتماد مکمل طور پر ختم کر دیا ہے,N
مقامی کھلاڑی نے قومی سطح پر گولڈ میڈل جیت کر تمام شہر کو خوشی سے سرشار کر دیا,P
بچوں سے مشقت لینے والے کارخانہ داروں کے خلاف کوئی سخت قانون موجود نہیں,N
محکمہ صحت نے کے حوالے سے شاندار اصلاحات متعارف کروائیں جن کی ہر جگہ تعریف ہو رہی ہے,P
خشک سالی نے امسال کسانوں کی پوری فصل تباہ کر دی اور وہ مقروض ہو گئے,N
کارخانے کی آلودگی نے امسال قریبی آبادی کو سانس کی بیماریوں میں مبتلا کر دیا ہے,N
سالانہ تقریب میں استانی نے کراچی میں پولیس محکمہ کے تعاون سے ایک شاندار منصوبہ مکمل کر لیا جس سے ہزاروں افراد مستفید ہوں گے,P
سائنسدان کے جھوٹے وعدوں نے موسم سرما میں عوام کا اعتماد مکمل طور پر ختم کر دیا ہے,N
نوجوان نسل پر لگے کرپشن کے الزامات ثابت ہونے کے باوجود کوئی کارروائی نہیں ہوئی,N
شور شرابے اور آلودگی نے حالیہ دنوں میں مری کی رہائشی زندگی کو غیر معیاری بنا دیا ہے,N
وزیر اعظم کے دھوکے نے رات گئے برسوں کی دوستی کو ایک ہی لمحے میں ختم کر دیا,N
بینک کے وعدے صرف کاغذوں تک محدود رہے، عملی طور پر کچھ نہ ہو سکا,N
جہلم کے نوجوانوں نے مل کر ماحول دوست منصوبہ شروع کیا جس کی ہر طرف تعریف ہو رہی ہے,P
معیاری تعلیم کے فقدان نے حالیہ دنوں میں دیہی علاقوں کے بچوں کا مستقبل تاریک کر دیا ہے,N
شاعر کی سادگی اور خلوص نے پیر کے روز ہر ملنے والے کا دل جیت لیا,P
استانی کی انتھک محنت رنگ لائی اور سالانہ تقریب میں انہیں وہ مقام مل گیا جس کے وہ حقدار تھے,P
شدید گرمی اور لوڈشیڈنگ نے صبح سویرے کوئٹہ کے باسیوں کی زندگی اجیرن کر دی ہے,N
آن لائن دھوکہ دہی کا شکار ہو کر نوجوان کی جمع پونجی چند لمحوں میں لٹ گئی,N
طلاق کی شرح میں اضافے نے خاندانی نظام کو شدید نقصان پہنچایا ہے,N
برسوں بعد بچھڑے دوستوں کا اس ہفتے اچانک ملنا زندگی کا حسین اتفاق تھا,P
این جی او کے افسران کی من مانیوں نے عام شہری کو ذلیل و خوار کر دیا,N
نئے تعلیمی سیشن کا آغاز جوش و خروش سے ہوا، بچے مسکراتے ہوئے سکول پہنچے,P
استاد کی حوصلہ افزائی نے موسم سرما میں ایک کمزور طالب علم کو کلاس کا بہترین نتیجہ دینے والا بنا دیا,P
سکھر کے پیر کے روز میں مسلسل بگاڑ نے عوام کو شدید مایوسی سے دوچار کر دیا,N
سالانہ تقریب میں کے دوران اوکاڑہ میں منعقدہ ثقافتی میلے نے تمام شہریوں کا دل موہ لیا,P
پیٹرول اور بجلی کی قیمتوں میں حالیہ دنوں میں مسلسل اضافے نے متوسط طبقے کی کمر توڑ دی ہے,N
ادیب کی بے حسی نے رات گئے مصیبت کے وقت کسی کے کام نہ آنے کا ثبوت دے دیا,N
پیٹرول اور بجلی کی قیمتوں میں مسلسل اضافے نے متوسط طبقے کی کمر توڑ دی ہے,N
کارخانے کی آلودگی نے قریبی آبادی کو سانس کی بیماریوں میں مبتلا کر دیا ہے,N
بلدیہ کی سست روی کی وجہ سے فائل مہینوں دفتروں میں پڑی رہی,N
عدالت کے تعاون سے بے گھر خاندانوں کو محفوظ رہائش فراہم کر دی گئی,P
انتظامیہ کی جانب سے غریب طلبہ کے لیے وظائف کا اعلان انتہائی خوش آئند قدم ہے,P
راولپنڈی کی گلیاں روشنیوں اور رونق سے جگمگا اٹھیں,P
بچے کی پہلی کامیابی دیکھ کر ماں باپ کی آنکھوں میں خوشی کے آنسو آ گئے,P
سالانہ تقریب میں کے دوران ملتان میں منعقدہ ثقافتی میلے نے تمام شہریوں کا دل موہ لیا,P
طلاق کی شرح میں عید کے موقع پر اضافے نے خاندانی نظام کو شدید نقصان پہنچایا ہے,N
اوکاڑہ کے شہریوں کی اجتماعی کوششوں سے محلے کی صفائی مہم کامیابی سے مکمل ہوئی,P
ڈاکٹر کا عاجزانہ رویہ اور دوسروں کی مدد کا جذبہ قابل تقلید ہے,P
میچ میں ناقص فیصلوں کی وجہ سے اس ہفتے ٹیم کو آخری لمحات میں شکست کا سامنا کرنا پڑا,N
طلاق کی شرح میں امسال اضافے نے خاندانی نظام کو شدید نقصان پہنچایا ہے,N
بارش کے بعد فیصل آباد کا موسم انتہائی خوشگوار ہو گیا اور لوگ گھروں سے باہر نکل آئے,P
وزیر اعظم کی بدسلوکی نے رات گئے پورے محلے کا امن و سکون برباد کر دیا,N
عید کے موقع پر کے دوران حنزہ میں پیش آنے والے واقعے نے سب کو صدمے میں ڈال دیا,N
ملتان میں نئے پارک کی تعمیر سے بچوں اور بزرگوں کو کھلی فضا میں وقت گزارنے کا موقع ملا,P
سیالکوٹ کی سڑکوں پر بنے گڑھوں کی وجہ سے چھٹی کے دن روزانہ نئے حادثات جنم لے رہے ہیں,N
محکمہ صحت نے صبح سویرے کے حوالے سے شاندار اصلاحات متعارف کروائیں جن کی ہر جگہ تعریف ہو رہی ہے,P
گزشتہ ماہ چترال کی گلیاں روشنیوں اور رونق سے جگمگا اٹھیں,P
گوجرانوالہ کے میں نمایاں بہتری نے شہریوں کے چہروں پر مسکراہٹ بکھیر دی,P
رمضان میں کے دوران گلگت میں پیش آنے والے واقعے نے سب کو صدمے میں ڈال دیا,N
بے جا ٹیکسوں کے نفاذ نے سالانہ تقریب میں چھوٹے تاجروں کی کمر توڑ دی ہے,N
امتحان میں ناکامی کے بعد طالب علم شدید ذہنی دباؤ کا شکار ہو گیا,N
دوستوں کے ساتھ رات گئے گزارا وقت زندگی کی سب سے قیمتی یادوں میں شمار ہوتا ہے,P
حالیہ دنوں میں سوات کی گلیاں روشنیوں اور رونق سے جگمگا اٹھیں,P
خاندان کے ساتھ پہاڑوں کی سیر ایک ناقابل فراموش تجربہ ثابت ہوئی,P
پولیس محکمہ کے وعدے چھٹی کے دن صرف کاغذوں تک محدود رہے، عملی طور پر کچھ نہ ہو سکا,N
کوئٹہ کے بازاروں میں رمضان میں غیر معمولی رونق دیکھی گئی، دکاندار خوش نظر آئے,P
استاد کے جھوٹے وعدوں نے عید کے موقع پر عوام کا اعتماد مکمل طور پر ختم کر دیا ہے,N
نوجوان نسل کو بین الاقوامی سطح پر ایوارڈ ملنے پر پورے خاندان میں خوشی کی لہر دوڑ گئی,P
کارپوریشن نے سالانہ تقریب میں نئی پالیسی متعارف کروائی جس سے عام آدمی کو کافی ریلیف ملنے کی توقع ہے,P
غیر ذمہ دارانہ ڈرائیونگ کے باعث پیر کے روز سڑک حادثے میں معصوم بچہ جاں بحق ہو گیا,N
نجی ادارہ کے تعاون سے بے گھر خاندانوں کو محفوظ رہائش فراہم کر دی گئی,P
بلدیہ کی نااہلی کے باعث گلگت میں بنیادی سہولیات تک عوام کی رسائی ممکن نہیں رہی,N
محلے دار کو سالانہ تقریب میں بین الاقوامی سطح پر ایوارڈ ملنے پر پورے خاندان میں خوشی کی لہر دوڑ گئی,P
برسوں کی محنت کے بعد عید کے موقع پر بیٹے نے سرکاری نوکری حاصل کر کے والدین کا سر فخر سے بلند کر دیا,P
لسبیلہ کے شہریوں کی اجتماعی کوششوں سے محلے کی صفائی مہم کامیابی سے مکمل ہوئی,P
والدین نے عوامی خدمت کا جذبہ برقرار رکھتے ہوئے مسلسل مثبت تبدیلی لانے کی کوشش جاری رکھی,P
وکیل نے عوامی خدمت کا جذبہ برقرار رکھتے ہوئے مسلسل مثبت تبدیلی لانے کی کوشش جاری رکھی,P
بچے کی پہلی کامیابی دیکھ کر امسال ماں باپ کی آنکھوں میں خوشی کے آنسو آ گئے,P
وزیر اعظم کی خودغرضی نے پورے منصوبے کو ناکامی سے دوچار کر دیا,N
بہاولپور کے میں مسلسل بگاڑ نے عوام کو شدید مایوسی سے دوچار کر دیا,N
کسان کے جھوٹے وعدوں نے صبح سویرے عوام کا اعتماد مکمل طور پر ختم کر دیا ہے,N
انتظامیہ کی سست روی کی وجہ سے پیر کے روز فائل مہینوں دفتروں میں پڑی رہی,N
نجی ادارہ کی سست روی کی وجہ سے فائل مہینوں دفتروں میں پڑی رہی,N
بینک میں پھیلی رشوت خوری نے پورے نظام کو اندر سے کھوکھلا کر دیا ہے,N
مقامی کھلاڑی نے رمضان میں قومی سطح پر گولڈ میڈل جیت کر تمام شہر کو خوشی سے سرشار کر دیا,P
استاد پر لگے کرپشن کے الزامات انتخابات کے قریب ثابت ہونے کے باوجود کوئی کارروائی نہیں ہوئی,N
صحت کارکن نے مشکل حالات میں بھی مسکراہٹ نہیں کھوئی اور دوسروں کے لیے حوصلے کا باعث بنے,P
سرکاری ہسپتالوں میں رمضان میں ادویات کی کمی کے باعث مریض علاج سے محروم رہ گئے,N
تعلیمی بورڈ کے وعدے انتخابات کے قریب صرف کاغذوں تک محدود رہے، عملی طور پر کچھ نہ ہو سکا,N
کسان خاتون کی بدسلوکی نے پورے محلے کا امن و سکون برباد کر دیا,N
برسوں کی محنت کے بعد بجٹ کے بعد بیٹے نے سرکاری نوکری حاصل کر کے والدین کا سر فخر سے بلند کر دیا,P
ڈاکٹر کی بدسلوکی نے پورے محلے کا امن و سکون برباد کر دیا,N
لسبیلہ کی سڑکوں پر بنے گڑھوں کی وجہ سے روزانہ نئے حادثات جنم لے رہے ہیں,N
این جی او کے افسران کی من مانیوں نے عام شہری کو ذلیل و خوار کر دیا,N
محبت اور خلوص سے بھرا یہ رشتہ موسم سرما میں بھی اتنا ہی مضبوط ہے جتنا پہلے دن تھا,P
شدید گرمی اور لوڈشیڈنگ نے انتخابات کے قریب گلگت کے باسیوں کی زندگی اجیرن کر دی ہے,N
طلاق کی شرح میں حالیہ دنوں میں اضافے نے خاندانی نظام کو شدید نقصان پہنچایا ہے,N
انتظامیہ نے چھٹی کے دن کے حوالے سے شاندار اصلاحات متعارف کروائیں جن کی ہر جگہ تعریف ہو رہی ہے,P
کراچی کی گلیوں میں کوڑے کے ڈھیر بیماریاں پھیلانے کا باعث بن رہے ہیں,N
شور شرابے اور آلودگی نے اس ہفتے حنزہ کی رہائشی زندگی کو غیر معیاری بنا دیا ہے,N
سکھر کی سڑکوں پر بنے گڑھوں کی وجہ سے موسم سرما میں روزانہ نئے حادثات جنم لے رہے ہیں,N
بلدیہ کی سست روی کی وجہ سے رات گئے فائل مہینوں دفتروں میں پڑی رہی,N
واپڈا کی غفلت کے باعث راولپنڈی کی فیکٹری میں آتشزدگی سے کئی مزدور جھلس گئے,N
صبح سویرے پرندوں کی چہچہاہٹ اور تازہ ہوا دل کو ایک عجیب سکون دیتی ہے,P
