review,rating,sentiment
Abbuzar ansari ...I will come house of kababjees landi Total with my family and celebrations for birthday my son I can order fride chicken. Pizza..bbq...and soup and Chinese all food was owsem serves was superb ...suman rizvi gro....,5,Positive
Tried deal of 3 Zinga burgers was v.reasonable n tasty.. chicken was very juicy n crispy from outside  .. if sauce was added it will be on next level... And the pizza was also tasty n unique taste ( creamy Tikka ),4,Positive
We are visiting with my family in kababjes and celebrating birthday and dinen eating fried chicken burgers and Alfredo pasta test was superb service delicious 😋 Suman Rizvi gro …,5,Positive
"It's pocket friendly. You have a wide variety to order from. From just coming in for a snack, drink, lunch, dinner or indulging in guilty pleasure sweets... House of Kababjees has it all covered.",5,Positive
"The food was excellent. The whole model of the place is ridiculous. There are spearate counters for chicken, pizza, express, deserts, etc. You have to go place an order on each one separately and pay separately. No one takes your order at …",3,Neutral
Today we gathered at Kababjees and this was a great experience. Nice staff and delicious food. I recommend everyone to visit at least here.,5,Positive
Am eating fried chicken..zingu Chipotle burger was owsem test and we are regular customer and always satisfied..gro suman rizvi ...,5,Positive
Am visiting house of kababjees landi kotal food was delicious service was owsem ...suman rizvi gro order taker aneeb..,5,Positive
"Everything is fine but at least reorder tu staff lesskta ausky lye bhi nechy utru
if u want to order water or anything in emergency staff lade",2,Negative
"Outstanding place, food quality is excellent, Ambiance amazing little bit parking issue in peak hours.",5,Positive
"Although it's a competitor to KFC but the only reason of this competition is BEING A PAKISTANI BRAND, services are very slow for about 5 kind of seperate cuisine they have only one counter running for each. So I had to stand and wait to …",4,Positive
"They really are serving the best they can, the ambiance is so pretty in this branch plus the food is really good there.",4,Positive
Muhammad Rameez ...food was delicious service superb we are satisfied...suman rizvi gro...,5,Positive
The zinger is so simple only zinger mayo aNd bun in zinger and the blood on ckicken and black stops on ckilen i prefer not to go here but servive is so good but food is not,2,Negative
The food is very good and the service is great to😇 suman rizvi gro …,5,Positive
always very crowded so it's impossible for staff to constantly clean it. service is also slow because of too many customers. serving size is also comparatively small than other branches. very chaotic atmosphere,2,Negative
"The Atmosphere, was just as expected, it resembled a food court, but the cleanliness could be improved. …",4,Positive
Food is good. Seats were not comfortable. Food served after 45 minutes. Portion sizes were quite lesser.,4,Positive
"Kababjees is now a hit and miss. Although they have tons of options on the menu, I feel like they are not living up to the standards. All in all, it's a good spot to hang out and have dinner. Value for money.",3,Neutral
The food quality was up to par and the service was quick and excellent,5,Positive
"Really delicious taste and highly recommended
By suman rizvi GRO",5,Positive
"Best serving and Staff attitude.
Suman Rizvi GRO",5,Positive
Very good supportive sttaf ...nice people...gro suman rizvi,5,Positive
"Well the plus point is that you get everything under one roof , apart from that food was just ok I think they should concentrate on one item like fried chicken rather than trying to pull off everything at the same time. They need to up their food taste if they want to be competitive and sustainable.",4,Positive
"If you're craving flavorful, perfectly grilled kebabs and a wide variety of delicious desi dishes, House of Kababjees is the place to go! The ambiance is warm and welcoming, the service is excellent, and the food quality is top-notch. Their …",5,Positive
The food was delicious service was good suman rizvi,5,Positive
Service was good. Everything was great!,5,Positive
"We ordered a beef burger, spicy garlic chicken and chicken corn soup.
The chicken corn soup was just average.
The beef burger and spicy garlic chicken taste good but they have changed their …",4,Positive
"Kababjees is becoming everyone's fav day by day,as they are having the best taste than KFC,their burgers, Alfredo pasta,beverages, fried chicken and wraps have the authentic,juicy and tender taste. it's really worth it for a get together and for satisfying your cravings. I am totally their fan",5,Positive
"Multiple Verity of Food, Staff very cooperative but couple and family are different entities.",4,Positive
White sauce pasta uski Sauce proper cooked nahi The Sauce thora thic kren Thats very liquid foam  Baki All food very nice Embiance Very good  Staff also Nice coperative and Bs Thora Time ziada lelety hai Dine in may  otherwise love this,3,Neutral
"My friend and I went there. My friend told me that their pizzas are really good, she wasn't wrong.  We ordered the Siracha sauced pizza and another one, whose name I don't remember. Both were way too scrumptious for wods.. Then we decided …",4,Positive
Slow service and some people got food quicker than us whereas we came before them,2,Negative
"The taste was sooooo good 👍
Sumen rizvi …",5,Positive
"We like to go to this place because (biggest plus IMHO) we can order fried chicken, chow mein, and BBQ all under one roof.
. …",4,Positive
"Ordered pizza from here, overecooked, cold and incorrect order sent, despite complaining no positive response.",3,Neutral
Mdm GRo suman is very good behavior,5,Positive
"Overall a good dine-in place in North Nazimabad.  A very good replacement for KFC. Clean environment, good helpful support staff and simple yet good food.",4,Positive
They take orders at closing but dine is close . But the manager comes and solves the issue but their moods were off,5,Positive
Waiters are not active they all are like come for sleep,5,Positive
Very poor service. I do not recomend anyone to go there.,4,Positive
"Fried chicken best burger
Sumal rizvi",5,Positive
House off kababjees landi kotal visit with my family food was owsem ...suman rizvi,5,Positive
"Overall service was good
Suman rizvi",5,Positive
"Very good branch, all under one roof. Seating is acceptable, and parking is through random on road valet guy.",4,Positive
Fried chicken n Zingo burger were on point as always. Alfredo pasta was also good but the sauce was a bit runny n chicken portion was less.,4,Positive
"First Visit:
Comments: I waited for an hour to finally eat the food I ordered an hour earlier. While the food was delicious, the management and queue system were terrible. I …",2,Negative
"I used to always go to KFC, especially for their Xtreme Dua box deal, which was perfect for 2 people and a kid for around 1500. But since Kabab Jee opened, I've been going there instead. They have almost everything KFC has, but with one …",5,Positive
"Enjoy the deals and food
Summan rizvi Gro",5,Positive
Overall food was excellent however waiting time and service was not upto the mark .,4,Positive
"Best Place to go and have a meal with family
only thing is missing which kababjees management should look at that it should have play area for kids just like kfc or any other multinational outlet have …",4,Positive
"Soo good. Appreciate As a Pakistani brand competing KFC, Coca Cola ,and other American brands",5,Positive
"Excellent ambiance, burgers were nice, broast was excellent albaik sauce too good over all 5/5 Highly recommend kababjees fried chicken",5,Positive
It was very good experience. All variety available under one roof with good atmosphere and delicious food. Service was good too 👍🏼 …,5,Positive
All ok service was good,5,Positive
"It's the one place to have all the kababjees food chain variety. Their burgers are so mouth watering, the best pakistani restaurant for all you want to eat and a perfect replacement for the boycotted restaurants.",5,Positive
"Suggestion: Make a play area. It's just good customer service!

Review: It was a good place to have fast food. Could improve though",3,Neutral
Meneger Ali service and dealing is best,5,Positive
"Best halwa puri with best atmosphere, service and with low rate",5,Positive
Atmosphere vey noisy and crowded.,5,Positive
"Its a nice place to be, they have 5 different brands of kababjees under the same roof and have plenty of space for dine in.",5,Positive
Zabardast menu with friendly service and environment,5,Positive
Very good service and good foodThe atmosphere of the restaurant is also like a family ☺️☺️,5,Positive
"Best quality
Suman rizvii",5,Positive
Need an option to swap cold drinks for water,4,Positive
Manager and all staff are friendly at night shift .,5,Positive
"Excellent taste of everything especially pasta good atmosphere I enjoyed the food taste, atmosphere and service also",5,Positive
Service sufian lobby guy is asome,5,Positive
All good,5,Positive
Expensive but not bad,4,Positive
Ali meneger nice service,5,Positive
"Delicious food
Suman Rizvi",5,Positive
It's a good place. But kababjees express take time for the order.,3,Neutral
Great place for family and friends,5,Positive
All.food was delicious 😋 …,5,Positive
All best,5,Positive
Good app,5,Positive
Average... Food is good but not serving nd service..,3,Neutral
Top food. Top service. Top ambiance. Keep it up!,5,Positive
Fried chicken is good. Many items under one roof.,5,Positive
Good food,4,Positive
Rabia is best GRO,5,Positive
Nice good,5,Positive
Overall good experience,5,Positive
"Awesome experience, great ambiance, perfect taste",5,Positive
I visited first time good experience but too much costly,5,Positive
Not extra but average,3,Neutral
Sufian service is asome,5,Positive
Service is best,5,Positive
"Amazing,",5,Positive
"Great experience birthday party , very friendly staff",5,Positive
All ok saticfied,5,Positive
Fried clhicken asome,5,Positive
Best of the best outlet of kababjees in karachi what a marvellous atmosphere eye catching ambience no doubt it is simply the best,5,Positive
Good,5,Positive
Their Peri Bites and Fish and chips are awesome,5,Positive
Super supreme pizza really very good 👍 …,4,Positive
👍 …,5,Positive
Marvellous outstanding,5,Positive
Best place for food lovers,5,Positive
service best,5,Positive
They bring your order to your table.,4,Positive
🍟fries thanday …,3,Neutral
Need to focus on cleanliness and service,3,Neutral
Best friend chicken and Alfredo pasta,5,Positive
The cashiers are a bit rude.,3,Neutral
Aesthetic!,4,Positive
Little Bit expensive....,4,Positive
Good place to visit,5,Positive
Good experience,5,Positive
Good 👍 …,5,Positive
Good experiens,5,Positive
too rush,3,Neutral
Great experience,5,Positive
Expensive,4,Positive
Pizza was delicious,5,Positive
This is called all in one,5,Positive
Best service and delicious food 😋 we are celebrating my birthday in house of kababjees landi kotal...suman rizvi gro …,5,Positive
"Nice, enjoyed alot",5,Positive
Niceeee enjoyed alot tasty food 10/10,5,Positive
The food was delicious 😋 and service good all over is done 👍 suman rizvi gro …,5,Positive
"very good experience 10/10 taste and quality
suman rizvi",5,Positive
The food and and services are fabulous verrier come here patents to thumb regularly,5,Positive
Food was delicious 😋 service was good suman rizvi gro.. …,5,Positive
"Enjoyed the Food and environment.
Suman rizvi GR",5,Positive
Food was good. Atmosphere and service were excellent,5,Positive
Food quality is amazing everything is perfect & service also good,5,Positive
Overall the food was 10 on 10 but i would appreciate if kababjees take care of soap fillment in the girls bathroom thanku,5,Positive
All superb,5,Positive
We are trying beef burger and Alfredo pasta so yummy and delicious service was good.. suman rizvi gro..,5,Positive
All ok,5,Positive
all ok,5,Positive
All nice  Meneger Ali and Sufyan service wwas nice,5,Positive
Excellent 👍 …,5,Positive
The taste was so good we really enjoyed it ♥️suman rizvi,5,Positive
atmosphere is good service fast and food also delicious very enjoy at kabab jees house,5,Positive
"Overall all the money is for ambitions and the biggest issue is to eat, if you get stuck at all then you will have to go to the downstairs counter again to order yourself..... rice and spice or what, a hair came out in the rice, as the supervisor noticed and got it changed. His tikka is very amazing.",3,Neutral
"They have set up such close tables that I am listening to the conversations of the people standing next to me, awkward. 
Ordered 2 items… 1st arrived, what happened… have to wait for the 2nd. 2nd order comes after 20 minutes, the waiter forgets to bring a cold drink…lol🙂 …",5,Positive
AL HAMDO LIL LAH regular customer 🥰 …,5,Positive
Gro Suma Rizvi,5,Positive
Gro suman rizvi,4,Positive
"Is you're a taste lover. Get here with your family. They serve you as per your expectations.
Taste 10/10 …",5,Positive
"Ordered online,Red Velvet Cake from Kababjees Bakers.
Yummiest cake 🎂 🍰
Taste was delicious. …",5,Positive
"1.prices are high
2.food quality was good
3. ambience is not good …",3,Neutral
This review is for the Mohammad Ali society site but they don't  have a Google location so I'm posting it here. …,4,Positive
"Previously it was kababjees restaurant and bakers both but now its only kababjees bakers at 2nd floor.
Great taste as i tried multiple items including gulab jamun, cham cham, barfi, …",4,Positive
"Good place, atmosphere is good, good for family dinner. Food quality is good but the quantity is very low they should increase the quantity of food. Taste is good souces are good service is good. Must go place. But food price are very high very expressive, i can't afford it two times in six months.",4,Positive
"Price is good, excellent taste, not good for dinning, only good for home delivery and takeaway.",3,Neutral
I tried first time #kababjeesbakers on my daughters birthday i ordered online 2 milky malt cheese cakes and instruct them to write Happy Birthday to haniya on cake we received and than we open it there was not written on cake so on that …,2,Negative
Good food and good service but too expensive,4,Positive
"Everything was good except kabab platter which cost around 1800 rs but poor taste poor quantity... Chicken mandi and chicken karhai both were good.. ambiance and service quite amazing.. will visit again..
P.s : got two complementary ice cream too :)",4,Positive
"Food taste is good👍
Ambiance is average.. cooperative staff. Service is quite slow. …",4,Positive
"Delish food!! Ordered Mutton Peshawari Karahi, Butter Katakat, and Zinger Burger, all were exceptionally delicious!",5,Positive
Recently ordered Lotus cake. It was good and reasonable. But I ordered it for my parents anniversary and they destroyed the cake's look by mistake.,4,Positive
"Excellent price, excellent taste, abundant quantity. NOT ideal for family or old people. Only home delivery and takeaway.",5,Positive
Very nice ambience. Excellent taste. Very kind staff. Bit pricy but worth it.,5,Positive
Great experience. Very nice ambience. All items are delicious 😋. But little bit expensive …,4,Positive
Very nice food and service,4,Positive
"Excellent environment good food.

PS: i have been to this branch of kababjees several times the food and …",4,Positive
Good and quality food but some time very noisy.,4,Positive
"It was good, food was great and delicious but it should be more wide sitting area",4,Positive
Excellent Food !!  Service could be a bit better !!,4,Positive
"Ordered bihari boti, malai boti, paneer handi, naan, chicken alfredo pasta, chicken burger, chicken bbq burger. Malai boti, handi and naan were on point. Whereas bihari boti was too much spicy to handle. On the other hand, burgers were both …",3,Neutral
"Kababjees is famous for cakes, cookies and nimco etc. I really liked their cakes such as Red Valvet and Three milk cake.",4,Positive
"Visited kababjees m.ali, ordered their mandi, chicken makhni handi and their rango Kabab. The food was great, especially the mandi was really good definitely worth it. :-)",4,Positive
Very decent ambiance with well mannered staff. Food was good too,4,Positive
Perfect food and great ambiance,5,Positive
"Cakes are moist, well balanced taste in short simply delicious. I ordered custom cakes twice and highly satisfied with the end product. Would highly recommend them for customised cakes. Snacks are also a good option. Their new line of soft …",5,Positive
Nice food and calm envoirnment.. so relaxing..,5,Positive
Crowded place.. But good in taste,4,Positive
Awesome place to have meals with family and friends,5,Positive
kebabjees one of the best restaurant in karachi tastefully food.,4,Positive
"food was great, i love the fried chicken here",4,Positive
My first experience in this restaurant. Food is tasty and it's service was good. Crowdy atmosphere shows that the food and service are nice! .,3,Neutral
"Love it. ❤
Tasty food. 🍗
Good service. 👍 …",5,Positive
The cake was delicious like ever. They are the best bakers.,5,Positive
"we only ate their pizza's and it was yummy .. madely fresh n serve hot, its very crowded all the time specially after 6 pm.. staff was good,
i dont know about burgers and chicken .. cause we I didn't try yet",5,Positive
Horrible customer service but great food! Just be prepared for long wait times 😅 …,4,Positive
I would prefer this place any day of the week bcoz I'm a lab lover and if you are a kabab lover then it's the place for you to go,5,Positive
Food quality is excellent,5,Positive
"Bought samosa soggy they were
Nankhatai good
Brownies ok …",2,Negative
A nice place to visit along with kids and family,4,Positive
AMAZING PLACE NO WORDS. The taste of food is PERFECT in every way. The ambience is extravagant and soothing. Moreover it has WiFi facility on each floor. However the elevator is very small and only 2 people can fit at a time which needs to be upgraded and enlarged.,5,Positive
"Good place, atmosphere is good, good for family dinner. Food quality is good. Taste is good .service is good. Must go place.",4,Positive
"Kababjees has introduced a unique takeaway bakery service, situated on the second floor, offering a convenient option for grabbing fresh bakery items on the go. While it’s not a dine-in spot, the selection and quality make it worth the …",5,Positive
Taste was good also environment and their staff including service excellent,5,Positive
"I disliked it as compared to it's branch at DHA Phase 8. Standard should be maintained throughout all branches. Food taste, appearance, and even serving style not the same. I visited both these branches with a gap of only 2 days and some of …",2,Negative
A good service .... With delicious food (Kababjees),3,Neutral
"I was put in an awkward situation because of their lackluster attitude. I got a promotional email that they are offering almost twenty-five percent discount. I along with my colleagues, fifteen in total reached and the food was served. When …",4,Positive
"Very good food.. Great service.. Great environment.. Friendly staff..
But they just want you to eat and leave early.. The ogling eyes suggesting to leave early, makes conversations non indulging..",4,Positive
I was arranged and booked 1st birthday party of my son.  But when we reached there the overall cooling system is not working properly in any floor. It seems very much disappointing specially in front of our guests. I am not satisfied for its cooling and lightning.,3,Neutral
"Went two years ago, wasn't the best of its branches. Food quality was not matching that of other branches. Extra oily, the washroom wasn't that clean. Staff wasn't very cooperative. But then again, not very bad too. Just that the M.A.S branch and jail road branch have set a benchmark that is not easy to match.",3,Neutral
"The food was excellent, but unfortunately the place was  very untidy, we had to ask the staff to either clean or replace the chairs, the floor also had stains on it. I think these things should be checked by the management regularly.",4,Positive
Great quality great taste 👍 …,5,Positive
"One of the best restaurants I've been to on my trip to Pakistan. Food was excellent there steak and ribs were phenomenal Honestly I was not expecting it to be that good ,the view of the ocean while eating was another great thing the service …",5,Positive
Awesome food and environment,5,Positive
The place is good for family dine in. The Management is slow. It takes several minutes for arranging seats. Food was good and a awesome. Food services are good but there is lacking of managing them. Moreover the roads are not in good condition.,4,Positive
"It is a very comfortable place with lots of nice dishes. However, the prices are quite high compared to the quantity of food served. This food chain has many branches in Karachi.This particular branch is in a congested area but the valet parking is available.",4,Positive
Great place to spend dinner time with your loved ones ...,3,Neutral
Food is delicious,5,Positive
Best I was ordered a cake last year was so yummy,5,Positive
"We ordered by foodpanda several time.We have tired aloo ka samosas,qeema Samosa and Chicken samosas.The masla they use to make alo samosas is quite different in taste and the ingredients were used  fresh & tasty.We also tired breads & …",4,Positive
So kababjees is our most favourite place when it comes to food. Their all branches are really nice. Food is always the best. Yummy in taste and quite reasonable. Ambiance is great and their service is outclass too. They have everything in …,5,Positive
"Food Quality 9/10
Ambience 7/10",5,Positive
Taste was good but not extreamely good...service was quick and nice...ambiance is good with warm lights...but one thing i didnt like is that after paying the bill the waiter did'nt returned the rest of the amount which was Rs 60/=...he kept …,3,Neutral
"Pricey for the quality of food provided. The place smelled like sanitizer all over (maybe they're overdoing it).
The food was okay. Don't steer away from the barbeque items it's their only …",3,Neutral
We had a family gathering at this restaurant and we are extremely pleased with food and service.  Owner came to our table and make sure everything is fine. Food itself was very good. I personally over eat. I definitely recommend and will go back to Kababjees.,5,Positive
One of the finest bakeries in K-town. They bake yummiest of the cakes. Prices are relatively same to the other brands. Room for improvement in how they showcase their products. They do accept credit cards here which is a plus. Service is …,4,Positive
"Amazing Experience...🤤👌 Well done
Food Quantity Good
Food Quality Great …",5,Positive
The cakes I buy from Kababjees are mostly good but the one I bought from this branch was not that good.,4,Positive
"Pleasant ambience
Excellent service
Delicious taste …",5,Positive
Beutifill place have dinner,5,Positive
I visited Kaba jees North Nazimabad on last weekend with my family to have dinner. …,4,Positive
"It was nice visit after two years. However, available wheelchair was without footsteps making it difficult to use. I hope they facilitate with  equipments in order.",3,Neutral
Heard lot of good reviews about the place but it was absolutely opposite to the reviews. Food taste and quantity is not upto the mark. Price is high in comparision to the quality of food. Service is poor.,2,Negative
Not the perfect taste as they were in the beginning. Inside restaurant there was low A/C issue at some tables. Service was better with average taste of food with a bit higher rate.,2,Negative
"Good, hygienic food and ambiance. An elevator is there so you don't need to worry about taking along people who can't climb up the staircase.",4,Positive
"Tried
Mutton Karhai - Ordinary
Chicken paneer handi - Awesome …",5,Positive
"Sundae is love
Mine favorite is Galaxy sundae and the taste was delicious 😍❤️ …",5,Positive
Good quality and the same for you and I will be there at the same time I will be there at the same time I will be able to make it to the meeting tonight 👍😊😊😊😀😊😊 it up 😊😀😁😊😊😀👍😁😁😁😁😊😊 it was 👌😊 it up 😊 it to the meeting tonight but I will be …,5,Positive
"Kababjees is a cool restaurant they have Chinese food, continental food and some fast food menu items.
Ambience is also good, lighting is a little low but everything's viewable, …",5,Positive
"The food quality is perfect. The manager and staff services are beyond the mark. The environement can be improved a little bit but overal, its a good place to spend quality time with family.",5,Positive
The place is so wonderful and the ambiance is also so good. Service is amazing and the food is also very tasty. Staff is very co operative,5,Positive
Now food quality better last year start not good.. food is fresh.. price is little bit high.. but restaurant area is nice staff is good,4,Positive
"Always a pleasure ordering from Kababjees, they never disappoint, and are highly professional and helpful. Even when the malir cantt branch hadn't opened , I got my order delivered twice, with no worries. Thanks so much! And the best decision was to open up in cantt, now we're going to get proper fat 🤣 …",5,Positive
I love the place n food as well,5,Positive
Great for families. Delicious food! Paneer Reshmi Handi is a must try if you're a cheese lover! And their Malai boti! Steaks are also yum!!! Fabulous overall experience. One of the favourites,5,Positive
The food is amazing.,5,Positive
"It was a very nice place with the services you can get your order in just 10 to 15 mints which is really nice
Food quality is divine with afordable price.",4,Positive
"Food and service is very good. Menu and decor is an eye sore. It's clean, table and chair are nice. I'd visit again and recommend it for others.",4,Positive
"I had a slight mishap in my order. However, I was provided with effective and reliable customer care and am completely satisfied with the service! Great going Kababjees!",5,Positive
"Excellent food. Perfect taste. Quality service. Specialty are Paneer Handi, Mutton Peshawri Karahi, Malai boti & chiken Reshmi kababs.
Ambiance is okay! Quite expensive and serving is below average.
Overall best Experience. Recommended.",4,Positive
It is very good. Best service great taste in foods. All variety of foods are available. Every thing is perfect. Yes it's expensive,5,Positive
Loved their cakes n brownies.. mouth watering...,5,Positive
Delicious food 🥘.. wonderful food and service was extra ordinary. Would recommend and love to go again. …,5,Positive
Very good food and service. No complaints. Staff is also helpful and always available. Must visit.,5,Positive
Good place for families and food is delicious 😋 …,5,Positive
Crunchy Chicken Burger was good. Chinese Fried Rice was just OK along with Green Chilli Chicken. Dhaka Fish and Lahori Mutton Karahi were a huge disappointment and highly not recommended dishes for anyone. Only the star dish was Cheesy Nan.,3,Neutral
"Good food
Quantity and quality both are good
Prices are reasonable …",5,Positive
"They have a very decent and efficient take away. I really enjoyed their service at take away counter. however, they should have a physical counter at Takeaway for home deliveries as well.",4,Positive
Nice red velvet cake,5,Positive
"Not Completely but satisfactory arrangements for COVID19, Their products are yummy no doubt about it but i was amazed to see as they are selling infrared thermometer + KN95 Masks as well... 😆😆 …",4,Positive
The place have good food and really enjoyfull resturant,5,Positive
"Quite a good place but lacks originality. Service was outstanding, the food not so much. All in all an ok experience...",4,Positive
It was good specially quantity and quality of foods both are good  enough environment n staff is also  remarkably tremendous,3,Neutral
Food was not extraordinary. Expensive compare to other highway restaurents. No proper parking for car but the vallet parking present. Ambience space.,3,Neutral
Good quality food seating capacity and quality service is offered quantity of food is also good with nominal charges beside there is a tea shop tea quality is also good and parking place is also available on main road so easy to park,5,Positive
food was great in taste and ok in quantity. the service was good.. its a good place for   a fancy dinner with family.,5,Positive
"Very disappointing service and behaviour of staff. Even AC was not working properly. But this was covered when the food was served, chow mein was good, cheese naan is love",4,Positive
"Very good n nice in food points, situated in the heart of khi city, perfect in items n arrangements. Services r nice.",5,Positive
"Ambience is not so good, but food quality is ok. Taste is also above average. Peshawri Morton karhai, beef nehari boti and various kababs are really good",4,Positive
Excellent and fast service . Clean. My kids did not get sick after having it . It was there first time in Karachi coming from states,5,Positive
"It's just ok,
Very expensive and taste wasn't so much good...
Environment was outstanding but taste was just acceptable....🙄😒 …",3,Neutral
So delicious food,5,Positive
Good food and service but they can more update himself,4,Positive
Good food and good place but little expensive,4,Positive
"Food is good, but if eat at first floor dining, careful of the sitting spot you chose, proper air conditioning system is not there",4,Positive
people may try their speciality.. but very costly.. if you have enough money to spend then visit .. found service and food good enough..,3,Neutral
Kababjees is one of the famous places of Karachi. They started from one restaurant and have now expanded into many outlets by the same name. Some of them owned whereas others have been given the rights. The kababjees restaurant that got …,2,Negative
"Awesome food
Awesome service
Awesome people …",5,Positive
"The bakery is currently under construction (Jan-2022). However, it is serving customers. There is a set of stairs that takes you to it. …",4,Positive
"Kababjees is known for its best service and divine food. But here in this branch if I compare it to shaheed e millat branch the standards are not same.
But service is no doubt excellent. Parking is a big concern here",3,Neutral
"Visited and tried awesome taste of kababjees North Nazimabad . All dishes were delicious specially mutton karhaii was awesome , challu kabab with rice, seekh kabab, beef boti, and Chinese dishes were also nice. Price are low than other kababjees because of location but taste was same as other restaurants of kababjees.",5,Positive
They maintain a very good standard in quality and taste of food. They have started Bakery in 2109 which offers very high quality cakes and other baked items at affordable rates.,5,Positive
Years ago the food and service both were to good but as they grows and keeps opening new branches standard of quality drops so and the services,2,Negative
"Best restaurant ever in Karachi.
I visit frequently.
Environment ,service,food taste and quality and presentation all are perfectly done by the professionals.",5,Positive
"The food is excellent. The rates are slightly high. Delivery time is reasonable. But in the end, there is no accounting for the taste!!!!",5,Positive
Excellent service and food quality great environment. Very good place for family.,5,Positive
"Awesome view you can make memories over here, i recommend everyone to have dinner or lunch with your spouse atleast onces in a life.",4,Positive
"Congested area of sitting in ground floor , average food quality . Too much expensive 1.5 litter mineral water charge 99/each .that's example...",2,Negative
First time i visited this hugely popular restaurant.. and it was as it is hyped.. food was delicious and environment was great,5,Positive
"Excellent Taste, Nice Place To have Food",5,Positive
Good food but price is too high. Service needs improvement.,4,Positive
Good Place But Food isn't Good i dont like it,3,Neutral
"Bakery was not up to the mark when I visited last time, may because of renovation work or whatever, hope will be  improved.",3,Neutral
Good place good food especially a dish named ALFREDO but worst place for taking pics due to dim lighting still peaceful place,4,Positive
Nice food and reasonable price,5,Positive
"Visited Kababjees North Nazimabad branch in Ramadhan for official iftaar and dinner.
Good Ambience. …",5,Positive
Delicious food with Best quality of service.,5,Positive
"A rare desi fine dine restaurant in the area
The food and especially the service is almost always on point
However, it is slightly on the expensive side …",4,Positive
"Great ambiance, tasty food and reasonable prices. Usually 15 to 20 mind waiting time on weekends.",5,Positive
"Food is so nice specially Makhni Handi ..
So reasonable prices with high quality service ..
Don't forget to order its amli wali chatni 😍 …",4,Positive
Ambience is awesome but the food is just OK. There are better options available for the similar food items in the same price range.,3,Neutral
Good and tasty foods...prices are bit high..further need to make cake more professionally in cake dough mostly egg taste feels...,4,Positive
Loved the food. People are nice and friendly. Environment is pretty good as s well,5,Positive
Good food but pretty expensive . Ambiance and service is pretty good .,3,Neutral
Very nice place and there is a public gaming area where there are swings and gaming zones. The view of the lake is also very good,5,Positive
"Nice place, very large dining Hall, quick service and also very yummy food with best qulaty.",4,Positive
"Really, good food. Was really surprised by the Mandi ( The Arabic Dish), they served. It was definitely one of best i have ever tasted.",4,Positive
"Kababjees is always a good experience. They have good variety and taste with very good service. They will ask you atleast thrice, during your visit regarding your experience. This shows there commitment for better customer experience.",4,Positive
Food quality and ambiance is good but air conditioning is poor which makes it less enjoying,3,Neutral
"Worst experience ever , IDK Kya planning hain in logon ki la chine kabab jee nhn lag ta , aik din pehle reservations krao , walk in mai duniya wait kra ti in ka restaurant khali pada th per phone pe mna Kr diya",2,Negative
"The wooden decks made on the shore of the Karachi sea, far away from urban noises, surrounded with cool sea breeze, having an attractive view of silent sea on one side and far away urban Karachi on other. …",5,Positive
"Comparatively new but they are off to a great start be it food, ambiance or staff everything is good. Hope they maintain their standard.",5,Positive
its a good food chain but they have not similar type of quality in every branch specially the cleaning and cutlery,3,Neutral
"Delicious and healthy food, at competitive rates. Good place to eat outdoor with family and friends.",5,Positive
Food so Tasty and very good service,5,Positive
"Food is really good
I tried Tariq road & do derya branches
Both offer large variety of Pakistani Chinese continental BBQ & fast food.
Overall service is good",4,Positive
Nice food but kind of expensive,4,Positive
Customer service is excellent taste is very good that's why I rate 4 star yet value money,4,Positive
