Comment,Label
huva abu daal diya,Negative
apni bhen ret bata,Negative
broooo finally wore new t shirts after decades,Positive
yr plz cheez btao bohot confused hu btech cs kru ya law field jau plz help,Normal
allah fake hain,Negative
rafel bumrah gira diya,Negative
hats off,Positive
instagram kon kon sun aaya,Positive
pure gane intezaar,Positive
thanks shradaa making video,Positive
trending no letsss goooooo,Positive
favt,Positive
sheeba shafaq rubab,Positive
r doing great job very best,Positive
irfan thank,Positive
ghar jhak chamb naad dasar taraf ya gana san ga rahe hain ghadi sabdhat kare hat,Normal
two father varma,Negative
mam did wonderful,Positive
charger chor,Negative
baap bete,Negative
most favorite coke,Positive
tik tok kuchh aaya,Positive
just crying while listening,Positive
kiya hua re bhikaristan kon jita dekha,Negative
aare bhai kehna chahte,Normal
masterpiece lyrics,Normal
pak walo khud pe kala jadu kar dediya,Negative
no,Normal
indian koi like nahi karenge bhai,Negative
every line beautifully written sung,Positive
ghar jake jao apne abbuu varma yaad kar lena,Negative
reel say kun kun aaya main ya hit hogya reel wajah say,Positive
nice see,Positive
were watching during elections now watching more don t stop what started,Positive
rafel sapno main giraye,Negative
chal maaf kiya ni was laughing like minutes nit really nice include memes videos ngreat video,Positive
vapas kab jaoge tu ja re,Normal
tu hindu naam pe kalank inki baato samjhne liye dimag chahiye wo gawari pass nahi,Negative
pap bap hota matar chood,Negative
go best,Positive
thank ai course,Positive
charger chura le gyaaaa,Negative
may allah gives peace,Normal
anyone celebrating now because virat kohli' birthday,Positive
thank insta reel recommending gr song love take care,Positive
loved story,Positive
accha hua paida hue dhruvika nahi nahi toh mere education knowledge gavar level hoti,Normal
just li l rejoinder tandoori roti making procedure fingers first dipped water before slapping rotis onto inside tandoor chulha,Positive
peaceful ears,Positive
mc match haarne baad rd match etna confidence lata kha,Negative
love aman bhai shraddha dd dil dil love both naa sirf eduction kliye infact real life zariye motivate karne kliye,Positive
yaar nu milegi ajj lash yaar dithat,Normal
bhai maja aya originally lag,Normal
today did wonders yaar noori,Positive
tum jumg sirf social media pr jit sakte real apne trum china abbu pucho bramhos hal kia pak,Negative
chakko muh pe chakka mar diya,Negative
gao waale like yeh toh russsian leke aya,Normal
aashuvlog same dikhte nahi banne tarika same nab agar koi international person daal bati bihari food bataye as rajasthani acha nahi lagta njyada bada bihar ya rajasthan,Positive
damorjaimin safe o samgha,Normal
danny pandit reel dekh kon kon aya,Positive
start sharing,Normal
starts alltime favourite,Positive
agreed bro track awesome nori legend,Positive
lahori churan khila diya rafale girane koi proof koi evidence sala sasta nashe karne wali kaum,Negative
pakis cumayidieans noooooaaaaooaa haar ngayiaa ooooaaa,Negative
jaahar pir known as gogaji region,Normal
learned python c language age fourteen want ask shall learn data structure algorithm just whatever random things was doing please tell love content thank,Positive
mere citi sohni mehiwal love gujrat,Positive
im faisalabad,Normal
jang jit ta match fir attitude london maharani jaisa,Negative
said hates hindu bhkt modi nhe normal man like indian except bjp bhkt,Negative
keep singing,Positive
welcome cs,Positive
allah body diya par dimag dena vul gaya,Negative
today,Normal
nakam ni love yes know nakam ni means abhi tere kam nahi hun,Positive
still favorite,Positive
jai jahar pir gogaji maharaj rajasthan nohar hanuman,Normal
thanks sharing time favourite song,Positive
jb tk tum jese andhbhkt jinda wo pelta rhega tumko andhbhkto,Normal
bhabhi muh bihari shabdh sun bahut achha laga,Positive
let make our top world index,Positive
love much,Positive
microsoft wali mera salaam nway becoming as superpower,Positive
dhanana near gaav apna bhai,Positive
bhikristan walo mkc inshallah,Negative
lyrics voice music,Normal
goa bus,Normal
tepiya pichhawade sabhi gusa dete,Negative
joi hind bharat mataki joi nbap,Negative
power music,Positive
saale rupees charger chori karte aukaad dikha rahe,Negative
proud beta,Positive
rafel giraya balki esi esi jagah ghusa pakistaniyo abhi tak dard npower,Negative
aman takle kaise,Normal
hum jeet har chin lete,Negative
bb ott kab entry le rho,Normal
love both aman bhaiya shraddha,Positive
kaise bhonk kutta,Negative
joker oo kami nahi es duniya mullu kafi,Negative
soul feel kr sakti,Positive
old sitar lady nobody notice her,Positive
love song will never shrink,Positive
tera bab idia,Negative
gagan,Positive
such talented family,Positive
yaar nu milegi aaj lash yaar di death,Positive
bso claim islam sense,Negative
tumhare hisaab toh pura kashmir tumhara lekin tumhari aukat aaur match starting tumhari wickets sirf run andar leli hum logo nabbu jeet gye,Negative
yar nu mily gi aj,Positive
chills down spine absolute beautiful,Positive
anyone august khair,Normal
teri ammi khud gyi pakhi log bhool gya,Negative
rafel giraoge tum log,Negative
how did get intership offer microsoft can help too how achieve,Normal
nostalgic,Positive
shuru toh bhot uchak rha yeh chomu,Negative
نency کمر,Normal
miss dw travel,Positive
salute coke these beautiful legendary composition lots love,Positive
kutta kutta hota sher sher hota baap baap hota haryan,Negative
help,Normal
last pakistani apna aukat agaye,Negative
faltu bhai tumehare bhagwan kyu butch late sarm aani chahiye tumhe,Negative
cannot stop listening noori voice,Positive
june,Normal
mobile charge karane liye power bank lene aukat nahi dialog bade mar haj,Negative
jis kwab mn rafael girey usi kwab mn dalkhor asia cup jeeta,Negative
kartarpur corridor opened,Positive
one most hilarious comments ever read,Positive
gareeebo nlive isiliye haar gaye live nahi hota toh jeet jaate,Negative
aapke jaisa bnana chahti hu,Positive
isi jaahiliyat vajah tumhara desh kabhi aage badhega loqn jindagi jeeoge,Negative
really terror people,Negative
even what mean allhumdulillah everything even bollywood pak singers sing,Positive
thank ma learn lot your tutorial videos,Positive
hariyani family litti chokha bana rahi ghazab mel sanskritio,Positive
very nice interested blog posts your work job good job,Positive
else listening masterpiece,Positive
akhir tera najayaj najayaz rahega,Negative
kurt godel,Positive
apne abbu pareshan karna band kar halala jayega pakistani aawam samjhe,Negative
mere aaj status per saal purana itna acha gaana lga,Positive
september mahina,Normal
bro,Normal
gusta,Positive
watching after ind vs pak match,Normal
very rare seen,Normal
beautiful family nice ur brother,Positive
its only,Positive
r uba cy la hy tu r uba cy la pak p r mila kat,Normal
indian public literally good test music boundry doesnt matter,Positive
bhai hamare zila fatehabad aajao vaha milunga nagar kuch khana pina bata dena full intzam,Normal
absolutely stunning,Positive
nuunth pahad neeche aagya,Negative
bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap bap,Negative
mara bna diya tum logo,Negative
thanks dii,Positive
bapa bapa hota beto jay shree ram,Negative
proud mam,Positive
like,Positive
bhai tum bigg boss ja rhe,Normal
log real rafel dekhe nahi liye rafel helawa samajh rahe,Negative
jitlia koibat nehi,Negative
tumahare bangladesh muh jeet chhinne chhamta rakhta beta,Negative
salo baap tumharai har baar kahi jeetaigai hum,Negative
too apne gaav dikhaiga indian hoke chchor kuse indian bol foreigner,Normal
rauf rafale uda diye,Negative
r good,Positive
varma pel diya,Negative
guy guitar long hair,Normal
cheating cheating rizwan chodu face dekhne lyek tera allout party night,Negative
talking about ali hamza noori,Positive
teri jindagi bas ak block sahi banya apna gaau,Positive
tum sirf sapno jeet sakte bete humari nayaz aulad,Negative
baat indian girls jyada match papi girls dekhta,Negative
charjar chor,Negative
coke nahi,Positive
aww shishtem kid got triggered,Negative
tumhare bachhe bachhe b hamari paidawar landooro,Negative
sahi bola tune baap baap hota samj ja beta,Negative
amazing song cant believe its yrs old listening first time th november,Positive
wow just love,Positive
thank your love country,Positive
beloved lives other side chenab river,Positive
badi great behen see how take big desicion salute di,Positive
swad aa gya beta pta cla bap kon beta kon,Negative
tune sehi bolatha baap baap hota,Negative
thanks,Positive
yaar nuu milay gi aj lashh yar dii,Positive
baap chodna mt shikhao bachho,Negative
nakli aadmi saleee,Negative
amazing performance by,Positive
bhai sach baap baap hota,Negative
ayushackled yeah bro,Positive
shuru chutiya ya koi alag course hota waha pe,Negative
dhuruv jui vegan but not their,Normal
sorry can relate your pain but remember grass always greener other side hyderabad deccan,Normal
hona,Positive
album,Positive
if r than go sandeep maheshwari show,Normal
love alien mars pakistani people,Positive
waah bhai masha allah,Positive
hag diya sale pakistani,Negative
creative lady,Normal
father,Negative
fun fact first time seen print t shirt nlike if also,Normal
proud feel horha aap krte dekh soochte dekh god blessing always,Positive
charger chori kar diya bhikari,Negative
atanki kitab kuran den,Negative
agree,Positive
thanks sweety,Positive
julha jhulon magar baap mt bhulo,Negative
when want sneeze really when want stare really,Positive
listening nowafter listening became mesmerized now can't other work except listening,Positive
match pehle insallah haarne baad allah pela,Negative
kachi mitti,Positive
bhola bangru,Normal
flying beast no harm video iykuk,Normal
wo jahar veer gogaji maharaj mandir,Positive
artist name respect,Positive
ap jaat hu,Normal
inko lg rha ball pr bna payega ipl khelte bhai rhi jung wo jite tum churns de diya tumko,Negative
because she loved him,Positive
may achieve your goal,Positive
pakistani logo bato dum duva kaam nahi aati hamesha inshallah karte rahate inko pata nahi allah nam koi cheez nahi duniya iske baje baar baar fail jate itna paak jamin log q khane liye taraste bakar life vaha logo most muslim countries world unstable log suffer kar baki religion compair agar allah naam koi cheez hoti wo abhi sabse khush hote jo nahi,Negative
baap baap hota baap baap hota,Negative
match enaam charger chor cup woo ley kar bhag gay asia cup ley kar bhag gaye,Negative
chill bro,Normal
much love shradha dd,Positive
anyone sept,Normal
yeh sahi kaha isne jung nahi jeet paoge,Negative
only some people can understand lyrics ones know sohni mahiwal ones read urdu adab,Positive
jaat college koi nahi padh sakta isme shamshadhusain,Normal
simply amazing,Positive
face make thumbnails really cracks up nkeep smiling really suits your spirit,Positive
rocked,Positive
as punjab understand haryanvi culture very well grandmother haryanvi came love bhai,Positive
baap baap hota kaha gya baap gnd mar nikal gaya,Negative
last few minutes magnificent,Positive
iphone beats makes feel heaven,Positive
yaar nu milay gi aj lash yaar di,Positive
sep dark room,Normal
love,Positive
russell cove,Normal
may apna story share karna chahata hu agar ap ijajat de may apki comment may apna coding journey share karna chata hu may kohi scince students hu jab may stating kiya tab mere pas internet computer vi nehi tab news pepar tecknology bareme pratha usise jan paya coding bolke vi kuch hay,Positive
pyare bacchon jo kuchh karna kar lo appu rahi,Negative
antankistan aawam aaj pata chala baap hota,Negative
love assam,Positive
listening again,Positive
ali noor guitar,Positive
baap koun hain bhai baap baap hain baap rahega,Negative
superb performance ji superb performance,Positive
jat bhavan dekh kr proud krne wale like krein,Positive
no words song,Normal
rafale giraye bhikhari sapne,Negative
may allah bless,Positive
daily dose elegant track love,Positive
samajh aaya mewat dange kyon bhadke,Normal
ohh yes yes,Normal
baad ch v nach laina c peo di jitan di khushi ch,Negative
love amazing track,Positive
bahut tez bahut purani video upload kr rahe,Normal
september,Normal
vallge gujarat,Normal
usman saadat thanks bro,Positive
sarangi,Normal
love your voice mashallah absolutely soulful,Positive
aabe yaad nsurgikal strike yaad naabe kese kese log rehte hein samne toh aajao phir kon jitta dekh lenaaa aankh faad kamino,Negative
gujarat education pe video bnaye nsarkar government school main bharti nahi kr rahi gujarat jgiyaye teachers khali fir aha gujarat months contrac pr bharti krti,Negative
will create another microsoft,Normal
gobar wali bat leke andbhakt jarur naraj jayenge,Negative
kaha,Normal
poet name,Normal
baat notice kiya pehele nacha te fir bhaga te khush kar jattka dette sharma varma,Negative
ham garibon pass itna paisa kahan aaega,Normal
nice song,Positive
really appreciating design,Positive
pata chal gaya baap kon beta ter soch tu gattur kai layak hamesha wahi rahega sick mind people,Negative
sahi baat baap baap hota jaise tumhara baap bete,Negative
inspire cse,Positive
aga ji kar diya,Negative
junaid malik,Positive
go ahead our true wishes pray mam,Positive
coke,Positive
ready chor pak,Negative
maynnn love,Positive
won't believe but best song listened,Positive
she sings great songs she sounds like hadiqa,Positive
give rights people thats why divided,Positive
greetings,Normal
dhruvratheevlogs bhai manipur upar video kab ayega,Normal
kai baat,Positive
no aren't only one,Positive
anyone sup,Normal
techburner bhai druv rathee kyuki sakal same dhikti,Normal
same here bit different,Normal
bro mera,Positive
julie memories after seeing right side symbol,Normal
brother thumari wife bhout prety umed krta hu mere aise wife hoo,Normal
proud,Positive
raat abbu jor jor piche marenge,Negative
har bari har jaate kyo ham kafir tumhare offical abbu,Negative
tumhari maar li,Negative
yar love yar,Positive
anyone night,Normal
don t know hindi please subtitles english,Normal
girl next level she such an inspiration coming generation hats off girl proud respect salute,Positive
click cc,Normal
tum jazbe afeem chatate raho,Negative
bhai bhot purana vlog dala kha gehu ktai bazre khde kheto march vlog,Normal
isko hindu culture tradition yaad ayi,Normal
ancestor hindi purvaj bolte bhai lgta apki hindi vocab kamjoor,Normal
what start feeling goosebump,Positive
favorite song,Normal
waaoo what song love song,Positive
battle music instruments,Positive
rip english,Normal
mea gaya,Normal
addicted one awesome song composition awesome vocalists did justice,Positive
dogri cinema,Positive
best teacher,Positive
bap,Negative
kitne namune yaar log,Negative
haryanale hindu sher,Normal
sahi ja rahe b dk bap bap hota,Negative
mobile pakad kar rakha tera hath dard jaega chillao mat,Negative
jaat bhavan,Positive
tumlogo ghar pe dekhna band krlia,Negative
baap aage khelega,Negative
don't know if any one noticed old lady playing sattaar salute her,Positive
yar pakistani pure pagal,Negative
indian aa gaya tu dekh,Normal
bapa,Negative
madam noor zehra kazim,Positive
easiest thing universe make fool indian people man doing,Positive
anyone iykyk,Normal
chutiyo bjp criticise krna mtlb criticize hota jahilo,Negative
haa nakaaam niii,Positive
