Question,Answer
حقیقت میں لائبریری جانے کا فائدہ؟,کتابیں اور پرسکون ماحول
عمومی طور پر مائیکروفون کیا کرتا ہے؟,آواز ریکارڈ کرتا ہے
اکثر وقت کی پابندی کیوں اہم؟,کام بروقت ہوتا ہے
عام طور پر تاریخ کی تاریخیں کیسے یاد کریں؟,ربط اور دہرائی سے
اکثر کمپوسٹ کیا ہے؟,قدرتی کھاد بنانے کا طریقہ
زیادہ تر سال کے کتنے موسم؟,چار موسم عام ہیں
زیادہ تر ڈکشنری کا استعمال؟,الفاظ کے معنی جاننے کے لیے
عمومی طور پر وائی فائی کیا ہے؟,بغیر تار کے انٹرنیٹ کنکشن
حقیقت میں نظر کی کمزوری کی علامات؟,دھندلا نظر آنا
حقیقت میں کیمرہ لینس کیا کرتا ہے؟,روشنی کو فوکس کرتا ہے
عام حالات میں روشنی کس رفتار سے سفر کرتی ہے؟,روشنی بہت تیز رفتار سے سفر کرتی ہے
عام حالات میں آن لائن تعلیم کا فائدہ؟,گھر بیٹھے سیکھنے کی سہولت
عام طور پر غلطی سے سیکھنا کیسا؟,بہتری کا موقع ملتا ہے
عام طور پر ندی نالے صاف رکھنے کیوں؟,پانی آلودہ نہیں ہوتا
عام طور پر آنکھوں کی حفاظت کیسے؟,زیادہ سکرین سے پرہیز اور روشنی کا خیال
نقشہ خوانی کیوں سیکھیں؟,سمت اور مقام معلوم کرنے کے لیے
زیادہ تر آلودگی کیسے کم کریں؟,عوامی ٹرانسپورٹ اور درخت لگا کر
عام حالات میں ریاضی سیکھنے کا فائدہ؟,سوچنے کی صلاحیت بڑھتی ہے
عمومی طور پر ہفتے کے کتنے دن؟,سات دن
دوستی کس طرح نبھائیں؟,ایمانداری اور احترام سے
عمومی طور پر چارجنگ کیا ہے؟,بیٹری میں بجلی بھرنا
آنکھوں کی حفاظت کیسے؟,زیادہ سکرین سے پرہیز اور روشنی کا خیال
ہوا کیسے چلتی ہے؟,درجہ حرارت کے فرق سے
عملاً سبزیاں کیوں کھانی چاہییں؟,وٹامنز اور فائبر ملتے ہیں
حقیقت میں زلزلہ کیوں آتا ہے؟,زمین کی تہوں کی حرکت سے
عام حالات میں ترازو کیا کرتا ہے؟,وزن ناپتا ہے
عملاً آکسیجن کہاں سے ملتی ہے؟,زیادہ تر پودوں اور درختوں سے
عام طور پر آئرن کی کمی سے کیا ہوتا ہے؟,خون کی کمی ہو سکتی ہے
عام حالات میں آئینہ کیسے کام کرتا ہے؟,روشنی کی عکاسی سے تصویر دکھاتا ہے
حقیقت میں پریزنٹیشن کیسے بنائیں؟,نقاط مرتب کر کے اور مشق کر کے
زیادہ تر صحت مند دل کے لیے کیا کریں؟,ورزش اور کم تیل والی غذا
عام طور پر وقت کی پابندی کیوں اہم؟,کام بروقت ہوتا ہے
عمومی طور پر مثبت کردار کیسے؟,اچھے اخلاق اور ذمہ داری سے
عمومی طور پر پریزنٹیشن کیسے بنائیں؟,نقاط مرتب کر کے اور مشق کر کے
عام طور پر دن کے وسط کو کیا کہتے ہیں؟,دوپہر
زیادہ تر گھڑی کا کام؟,وقت بتانا
عملاً گھر کی صفائی کیوں؟,صحت اور خوشگوار ماحول
محنت کا نتیجہ؟,کامیابی اور اطمینان
حقیقت میں ماحول کی صفائی کیوں؟,صحت بہتر رہتی ہے
پانی کا کیمیائی فارمولا کیا ہے؟,پانی کا کیمیائی فارمولا H2O ہے
عام طور پر شکریہ ادا کرنا کیوں؟,قدر کرنے کا اظہار
سال میں کتنے مہینے؟,بارہ مہینے
عام حالات میں پاس ورڈ محفوظ رکھنے کا فائدہ؟,ذاتی معلومات کی حفاظت
زیادہ تر موسم کیسے بدلتے ہیں؟,زمین کے سورج کے گرد چکر سے
حقیقت میں کمپیوٹر کے اہم حصے کون سے ہیں؟,پروسیسر، میموری اور اسٹوریج
ورزش سے پہلے کیا کریں؟,وارم اپ ضروری ہے
عمومی طور پر پھل روزانہ کیوں کھائیں؟,وٹامنز اور فائبر ملتے ہیں
حقیقت میں ایمانداری کا فائدہ؟,اعتماد اور عزت ملتی ہے
کتاب کیسے سنبھالیں؟,صفحات موڑنے سے گریز
تاریخ کی تاریخیں کیسے یاد کریں؟,ربط اور دہرائی سے
سمندر کی حفاظت کیوں؟,ماحولیاتی توازن کے لیے
حقیقت میں چاند زمین کے گرد کتنی دیر میں چکر لگاتا ہے؟,تقریباً 27 دن میں
عام طور پر آلودگی کیسے کم کریں؟,عوامی ٹرانسپورٹ اور درخت لگا کر
عام طور پر بھاپ پانی کی کون سی حالت ہے؟,بھاپ پانی کی گیسی حالت ہے
حقیقت میں ندی نالے صاف رکھنے کیوں؟,پانی آلودہ نہیں ہوتا
عام طور پر کچن صاف رکھنے کا فائدہ؟,جراثیم کم ہوتے ہیں
عام طور پر درخت لگانے کا فائدہ؟,آکسیجن اور صاف ماحول
زیادہ تر صداقت کی اہمیت؟,اعتماد پیدا ہوتا ہے
عمومی طور پر سمندر میں کچرا پھینکنے کا نقصان؟,سمندری حیات متاثر ہوتی ہے
عام طور پر ترازو کیا کرتا ہے؟,وزن ناپتا ہے
عام حالات میں مدد کرنے کا فائدہ؟,خوشی اور اچھے رشتے
حقیقت میں کمپوسٹ کیا ہے؟,قدرتی کھاد بنانے کا طریقہ
اکثر سورج کس سمت سے نکلتا ہے؟,سورج مشرق سے نکلتا ہے
زیادہ تر ورزش کے فائدے کیا ہیں؟,طاقت بڑھتی ہے اور صحت بہتر ہوتی ہے
حقیقت میں کمپیوٹر وائرس کیا ہے؟,ایسا پروگرام جو کمپیوٹر کو نقصان پہنچاتا ہے
عمومی طور پر مہینے کے کتنے ہفتے؟,تقریباً چار ہفتے
عمومی طور پر سورج کس سمت سے نکلتا ہے؟,سورج مشرق سے نکلتا ہے
عمومی طور پر تاریخ پڑھنے کا فائدہ؟,ماضی سے سبق ملتا ہے
عمومی طور پر بارش کا پانی جمع کرنے کا فائدہ؟,پانی کی بچت
شکایت کرنے سے بہتر کیا؟,حل تلاش کرنا
عمومی طور پر موبائل کا زیادہ استعمال کیسا؟,حد میں رکھنا بہتر ہے
عام طور پر انٹرنیٹ بینکنگ کیا ہے؟,انٹرنیٹ کے ذریعے بینک کے کام کرنا
عمومی طور پر قطب نما کیا بتاتا ہے؟,سمتیں
حقیقت میں پانی کیسے بچائیں؟,نل بند رکھ کر اور درست استعمال سے
عمومی طور پر قدرتی وسائل کی حفاظت کیوں؟,آنے والی نسلوں کے لیے
اکثر ری سائیکلنگ کیا ہے؟,پرانی چیزوں کا دوبارہ استعمال
اکثر تعاون کرنے کا فائدہ؟,کام آسان ہو جاتا ہے
عمومی طور پر وعدہ خلافی کا نقصان؟,اعتماد ختم ہوتا ہے
حقیقت میں الیکٹرک گاڑی کا فائدہ؟,کم آلودگی اور ایندھن کی بچت
ری سائیکلنگ کیا ہے؟,پرانی چیزوں کا دوبارہ استعمال
اکثر ورزش سے پہلے کیا کریں؟,وارم اپ ضروری ہے
عمومی طور پر بچت کرنا کیوں اہم؟,مستقبل کے لیے مددگار
ای میل کیا ہے؟,الیکٹرانک پیغام بھیجنے کا طریقہ
عمومی طور پر اسکینر کیا ہے؟,کاغذی دستاویز کو ڈیجیٹل بناتا ہے
عمومی طور پر ہوا کیسے چلتی ہے؟,درجہ حرارت کے فرق سے
اکثر وقت کی قدر کیوں؟,وقت واپس نہیں آتا
ماؤس کیا کام کرتا ہے؟,سکرین پر اشارہ کرنے کا آلہ
عام حالات میں سورج کس سمت سے نکلتا ہے؟,سورج مشرق سے نکلتا ہے
حقیقت میں گاڑی کم چلانے کا فائدہ؟,آلودگی کم ہوتی ہے
اکثر پڑوسیوں سے رویہ کیسا؟,اچھا اور مددگار
زیادہ تر یادداشت کیسے بہتر کریں؟,دہرائی اور اچھی نیند سے
اکثر دودھ کے کیا فائدے ہیں؟,ہڈیاں مضبوط بناتا ہے
مہمان نوازی کیسے؟,احترام اور خوش اخلاقی سے
حقیقت میں کھڑکیوں پر جالی کیوں؟,کیڑوں سے بچاؤ
اکثر باثروم صاف رکھنے کیوں؟,جراثیم اور بدبو سے بچاؤ
اکثر آگ کے لیے کون سی چیز ضروری ہے؟,آکسیجن آگ کے لیے ضروری ہے
موسم کیسے بدلتے ہیں؟,زمین کے سورج کے گرد چکر سے
حقیقت میں قطب نما کیا بتاتا ہے؟,سمتیں
اکثر گھر میں بجلی کا بل کیسے کم کریں؟,ایل ای ڈی بلب اور احتیاط سے
حقیقت میں پروٹین کن چیزوں میں ہے؟,انڈے، دودھ، گوشت اور دالوں میں
عام طور پر ایمانداری کا فائدہ؟,اعتماد اور عزت ملتی ہے
زیادہ تر وعدہ پورا کرنا کیوں؟,اعتماد برقرار رہتا ہے
اکثر کتاب کیسے سنبھالیں؟,صفحات موڑنے سے گریز
حقیقت میں قدرتی کیڑے کنٹرول؟,فائدہ مند کیڑے استعمال کر کے
زیادہ تر تحقیق کیا ہے؟,نئی معلومات حاصل کرنے کا عمل
ہارڈ ڈرائیو کیا ہے؟,ڈیٹا مستقل محفوظ رکھنے کا آلہ
عام حالات میں نیند کیوں ضروری ہے؟,جسم اور دماغ کو آرام ملتا ہے
زیادہ تر ویب سائٹ کیا ہے؟,انٹرنیٹ پر معلومات کا صفحہ
اکثر بیٹری کیا کام کرتی ہے؟,بجلی ذخیرہ کر کے فراہم کرتی ہے
گھر میں بجلی کا بل کیسے کم کریں؟,ایل ای ڈی بلب اور احتیاط سے
عملاً سمندر کی حفاظت کیوں؟,ماحولیاتی توازن کے لیے
آواز کس طرح سفر کرتی ہے؟,ہوا کی لہروں سے
عمومی طور پر آن لائن تعلیم کا فائدہ؟,گھر بیٹھے سیکھنے کی سہولت
عام طور پر جغرافیہ سیکھنے کا فائدہ؟,دنیا کے بارے میں علم
اکثر شکایت کرنے سے بہتر کیا؟,حل تلاش کرنا
عام حالات میں گروپ اسٹڈی کا فائدہ؟,ایک دوسرے سے سیکھنے میں مدد
کلاؤڈ سٹوریج کیا کہلاتا ہے؟,انٹرنیٹ پر ڈیٹا محفوظ رکھنے کا طریقہ
ڈرون کیا ہے؟,بغیر پائلٹ کے اڑنے والا آلہ
عام حالات میں موبائل کا زیادہ استعمال کیسا؟,حد میں رکھنا بہتر ہے
زیادہ تر آئینہ کیسے کام کرتا ہے؟,روشنی کی عکاسی سے تصویر دکھاتا ہے
